MySportU,Config,Genre,Numero
069069031 - Lyon 1 Santé (1),SANTE (1),M,1
069069031 - Lyon 1 Santé (2),SANTE (2),M,2
069069031 - Lyon 1 Santé (3),SANTE (3),M,3
069069031 - Lyon 1 Santé (4),SANTE (4),M,4
069069031 - Lyon 1 Santé (5),SANTE (5),M,5
069069031 - Lyon1Santé(1),SANTE (1),F,1
069069031 - Lyon1Santé(2),SANTE (2),F,2
069069031 - Lyon1Santé(3),SANTE (3),F,3
069069031 - Lyon1Santé(4),SANTE (4),F,4
069069031 - Lyon1Santé(5),SANTE (5),F,5
069069031 - Lyon1Santé(6),SANTE (6),F,6
